Genre,Title,Revenue,Budget,Rating,Popularity,Vote_Count,Vote_Average
Adventure,The Princess and the Frog,419665568,225000000,G,20.581999999999997,3852,6.5
Family,The Princess and the Frog,419665568,225000000,G,20.581999999999997,3852,6.5
Fantasy,The Princess and the Frog,419665568,225000000,G,20.581999999999997,3852,6.5
Family,The Twilight Saga: New Moon,93945766,120000000,PG-13,17.025,727,5.8
Action,The Twilight Saga: New Moon,93945766,120000000,PG-13,17.025,727,5.8
Adventure,The Twilight Saga: New Moon,93945766,120000000,PG-13,17.025,727,5.8
Comedy,The Twilight Saga: New Moon,93945766,120000000,PG-13,17.025,727,5.8
Adventure,Up,401128639,145000000,PG,16.964000000000002,2737,5.3
Action,Up,401128639,145000000,PG,16.964000000000002,2737,5.3
Fantasy,Up,401128639,145000000,PG,16.964000000000002,2737,5.3
Animation,Sherlock Holmes,309979994,150000000,PG-13,16.955,3670,6.4
Family,Sherlock Holmes,309979994,150000000,PG-13,16.955,3670,6.4
Adventure,Sherlock Holmes,309979994,150000000,PG-13,16.955,3670,6.4
Comedy,Sherlock Holmes,309979994,150000000,PG-13,16.955,3670,6.4
Fantasy,Pok̩mon: Arceus and the Jewel of Life,333932083,150000000,TV-Y7,19.936,7263,7.5
Drama,Pok̩mon: Arceus and the Jewel of Life,333932083,150000000,TV-Y7,19.936,7263,7.5
Thriller,Pok̩mon: Arceus and the Jewel of Life,333932083,150000000,TV-Y7,19.936,7263,7.5
Mystery,Pok̩mon: Arceus and the Jewel of Life,333932083,150000000,TV-Y7,19.936,7263,7.5
Romance,Pok̩mon: Arceus and the Jewel of Life,333932083,150000000,TV-Y7,19.936,7263,7.5
Action,Night at the Museum: Battle of the Smithsonian,170764026,25000000,PG,16.528,4318,6.5
Thriller,Night at the Museum: Battle of the Smithsonian,170764026,25000000,PG,16.528,4318,6.5
Science Fiction,Night at the Museum: Battle of the Smithsonian,170764026,25000000,PG,16.528,4318,6.5
TV Movie,Coraline,0,0,PG,16.274,184,6.4
