Genre,Title,Revenue,Budget,Rating,Popularity,Vote_Count,Vote_Average
Comedy,The Martian,349424282,127000000,PG-13,24.92,3804,6.1
Fantasy,The Martian,349424282,127000000,PG-13,24.92,3804,6.1
Family,The Martian,349424282,127000000,PG-13,24.92,3804,6.1
Fantasy,Star Wars: The Force Awakens,609123048,145000000,,20.491999999999997,6025,7.7
Action,Star Wars: The Force Awakens,609123048,145000000,,20.491999999999997,6025,7.7
Adventure,Star Wars: The Force Awakens,609123048,145000000,,20.491999999999997,6025,7.7
Animation,Star Wars: The Force Awakens,609123048,145000000,,20.491999999999997,6025,7.7
Comedy,Star Wars: The Force Awakens,609123048,145000000,,20.491999999999997,6025,7.7
Family,Star Wars: The Force Awakens,609123048,145000000,,20.491999999999997,6025,7.7
Science Fiction,Inside Out,477200000,125000000,PG,25.451999999999998,4504,5.8
Action,Inside Out,477200000,125000000,PG,25.451999999999998,4504,5.8
Adventure,Inside Out,477200000,125000000,PG,25.451999999999998,4504,5.8
Fantasy,Inside Out,477200000,125000000,PG,25.451999999999998,4504,5.8
Comedy,Inside Out,477200000,125000000,PG,25.451999999999998,4504,5.8
Science Fiction,Cinderella,440603537,155000000,PG,52.608000000000004,5619,5.9
Action,Cinderella,440603537,155000000,PG,52.608000000000004,5619,5.9
Thriller,Cinderella,440603537,155000000,PG,52.608000000000004,5619,5.9
Adventure,Cinderella,440603537,155000000,PG,52.608000000000004,5619,5.9
Horror,Ant-Man,0,0,PG-13,46.917,1,10.0
Comedy,Ant-Man,0,0,PG-13,46.917,1,10.0
Drama,Avengers: Age of Ultron,630161890,108000000,PG-13,28.965,12898,7.7
Adventure,Avengers: Age of Ultron,630161890,108000000,PG-13,28.965,12898,7.7
Science Fiction,Avengers: Age of Ultron,630161890,108000000,PG-13,28.965,12898,7.7
Action,Self/less,2068223624,245000000,PG-13,35.834,13201,7.4
Adventure,Self/less,2068223624,245000000,PG-13,35.834,13201,7.4
Science Fiction,Self/less,2068223624,245000000,PG-13,35.834,13201,7.4
Fantasy,Self/less,2068223624,245000000,PG-13,35.834,13201,7.4
Drama,Insurgent,857611174,175000000,PG-13,35.617,13615,7.9
Comedy,Insurgent,857611174,175000000,PG-13,35.617,13615,7.9
Animation,Insurgent,857611174,175000000,PG-13,35.617,13615,7.9
Family,Insurgent,857611174,175000000,PG-13,35.617,13615,7.9
Romance,Goosebumps,543514353,95000000,PG,35.071999999999996,4836,6.7
Fantasy,Goosebumps,543514353,95000000,PG,35.071999999999996,4836,6.7
Family,Goosebumps,543514353,95000000,PG,35.071999999999996,4836,6.7
Drama,Goosebumps,543514353,95000000,PG,35.071999999999996,4836,6.7
Science Fiction,San Andreas,519311965,130000000,PG-13,33.766,12849,7.1
Action,San Andreas,519311965,130000000,PG-13,33.766,12849,7.1
Adventure,San Andreas,519311965,130000000,PG-13,33.766,12849,7.1
Action,Tomorrowland,1405403694,280000000,PG,33.3,14539,7.3
Adventure,Tomorrowland,1405403694,280000000,PG,33.3,14539,7.3
Science Fiction,Tomorrowland,1405403694,280000000,PG,33.3,14539,7.3
Science Fiction,Jurassic World,30523226,26000000,PG-13,33.284,1928,6.3
Mystery,Jurassic World,30523226,26000000,PG-13,33.284,1928,6.3
Thriller,Jurassic World,30523226,26000000,PG-13,33.284,1928,6.3
Action,Spectre,295238201,110000000,PG-13,30.108,7104,6.3
Adventure,Spectre,295238201,110000000,PG-13,30.108,7104,6.3
Science Fiction,Spectre,295238201,110000000,PG-13,30.108,7104,6.3
Thriller,Spectre,295238201,110000000,PG-13,30.108,7104,6.3
Adventure,No Escape,158162788,58000000,R,26.831,2361,6.2
Horror,No Escape,158162788,58000000,R,26.831,2361,6.2
Comedy,No Escape,158162788,58000000,R,26.831,2361,6.2
Action,Furious 7,470490832,110000000,PG-13,26.379,5429,6.1
Drama,Furious 7,470490832,110000000,PG-13,26.379,5429,6.1
Thriller,Furious 7,470490832,110000000,PG-13,26.379,5429,6.1
Adventure,Kingsman: The Secret Service,209154322,190000000,R,25.416,4851,6.2
Family,Kingsman: The Secret Service,209154322,190000000,R,25.416,4851,6.2
Mystery,Kingsman: The Secret Service,209154322,190000000,R,25.416,4851,6.2
Science Fiction,Kingsman: The Secret Service,209154322,190000000,R,25.416,4851,6.2
Action,Jupiter Ascending,1671713208,150000000,PG-13,26.004,14697,6.6
Adventure,Jupiter Ascending,1671713208,150000000,PG-13,26.004,14697,6.6
Science Fiction,Jupiter Ascending,1671713208,150000000,PG-13,26.004,14697,6.6
Thriller,Jupiter Ascending,1671713208,150000000,PG-13,26.004,14697,6.6
Action,The Lazarus Effect,880674609,245000000,PG-13,25.925,6992,6.4
Adventure,The Lazarus Effect,880674609,245000000,PG-13,25.925,6992,6.4
Crime,The Lazarus Effect,880674609,245000000,PG-13,25.925,6992,6.4
Action,Captain America: Civil War,54418872,5000000,PG-13,25.319000000000003,1371,6.8
Thriller,Captain America: Civil War,54418872,5000000,PG-13,25.319000000000003,1371,6.8
Action,Doctor Strange,1506249360,190000000,PG-13,29.041,6909,7.3
Crime,Doctor Strange,1506249360,190000000,PG-13,29.041,6909,7.3
Thriller,Doctor Strange,1506249360,190000000,PG-13,29.041,6909,7.3
Crime,Deadpool,414351546,81000000,R,24.246,10922,7.6
Comedy,Deadpool,414351546,81000000,R,24.246,10922,7.6
Action,Deadpool,414351546,81000000,R,24.246,10922,7.6
Adventure,Deadpool,414351546,81000000,R,24.246,10922,7.6
Science Fiction,Zootopia,183987723,176000003,PG,23.09,4646,5.3
Fantasy,Zootopia,183987723,176000003,PG,23.09,4646,5.3
Action,Zootopia,183987723,176000003,PG,23.09,4646,5.3
Adventure,Zootopia,183987723,176000003,PG,23.09,4646,5.3
Thriller,The Salesman,64110728,3300000,PG-13,22.615,883,5.2
Horror,The Salesman,64110728,3300000,PG-13,22.615,883,5.2
Mystery,The Salesman,64110728,3300000,PG-13,22.615,883,5.2
Science Fiction,The Salesman,64110728,3300000,PG-13,22.615,883,5.2
Adventure,X-Men: Apocalypse,1153304495,240000000,PG-13,41.519,14974,7.4
Action,X-Men: Apocalypse,1153304495,240000000,PG-13,41.519,14974,7.4
Science Fiction,X-Men: Apocalypse,1153304495,240000000,PG-13,41.519,14974,7.4
Action,London Has Fallen,677700000,165000000,R,38.376,13623,7.4
Adventure,London Has Fallen,677700000,165000000,R,38.376,13623,7.4
Fantasy,London Has Fallen,677700000,165000000,R,38.376,13623,7.4
Science Fiction,London Has Fallen,677700000,165000000,R,38.376,13623,7.4
Action,Hacksaw Ridge,783100000,58000000,R,37.883,21227,7.6
Adventure,Hacksaw Ridge,783100000,58000000,R,37.883,21227,7.6
Comedy,Hacksaw Ridge,783100000,58000000,R,37.883,21227,7.6
Animation,La La Land,1023784195,150000000,PG-13,42.596000000000004,10645,7.7
Adventure,La La Land,1023784195,150000000,PG-13,42.596000000000004,10645,7.7
Family,La La Land,1023784195,150000000,PG-13,42.596000000000004,10645,7.7
Comedy,La La Land,1023784195,150000000,PG-13,42.596000000000004,10645,7.7
Drama,Rogue One: A Star Wars Story,2216318,0,PG-13,25.173000000000002,431,7.3
Thriller,Rogue One: A Star Wars Story,2216318,0,PG-13,25.173000000000002,431,7.3
Action,The Angry Birds Movie,543934787,178000000,PG,34.65,8815,6.5
Adventure,The Angry Birds Movie,543934787,178000000,PG,34.65,8815,6.5
Science Fiction,The Angry Birds Movie,543934787,178000000,PG,34.65,8815,6.5
Fantasy,The Angry Birds Movie,543934787,178000000,PG,34.65,8815,6.5
Action,Arrival,205754447,60000000,PG-13,29.733,2799,5.9
Thriller,Arrival,205754447,60000000,PG-13,29.733,2799,5.9
Drama,Batman v Superman: Dawn of Justice,175302354,40000000,PG-13,29.261,7118,8.1
History,Batman v Superman: Dawn of Justice,175302354,40000000,PG-13,29.261,7118,8.1
War,Batman v Superman: Dawn of Justice,175302354,40000000,PG-13,29.261,7118,8.1
Drama,Your Name.,203388186,47000000,PG,23.436,11071,7.5
Science Fiction,Your Name.,203388186,47000000,PG,23.436,11071,7.5
Mystery,Your Name.,203388186,47000000,PG,23.436,11071,7.5
Action,Fantastic Beasts and Where to Find Them,873260194,250000000,PG-13,26.401999999999997,12489,5.8
Adventure,Fantastic Beasts and Where to Find Them,873260194,250000000,PG-13,26.401999999999997,12489,5.8
Fantasy,Fantastic Beasts and Where to Find Them,873260194,250000000,PG-13,26.401999999999997,12489,5.8
Romance,Lion,357986087,0,PG-13,26.104,4664,8.5
Animation,Lion,357986087,0,PG-13,26.104,4664,8.5
Drama,Lion,357986087,0,PG-13,26.104,4664,8.5
Adventure,Hidden Figures,809342332,180000000,PG,31.58,12899,7.4
Family,Hidden Figures,809342332,180000000,PG,31.58,12899,7.4
Fantasy,Hidden Figures,809342332,180000000,PG,31.58,12899,7.4
Drama,Boyka: Undisputed IV,140312928,12000000,none,25.81,4173,8.2
Drama,The Jungle Book,230698791,25000000,PG,26.85,5192,8.0
History,The Jungle Book,230698791,25000000,PG,26.85,5192,8.0
Thriller,Ghostbusters,0,0,PG,23.241,509,6.2
Action,Ghostbusters,0,0,PG,23.241,509,6.2
Crime,Ghostbusters,0,0,PG,23.241,509,6.2
Adventure,One Summer Night,966550600,175000000,,23.133000000000003,5560,6.8
Drama,One Summer Night,966550600,175000000,,23.133000000000003,5560,6.8
Family,One Summer Night,966550600,175000000,,23.133000000000003,5560,6.8
Fantasy,One Summer Night,966550600,175000000,,23.133000000000003,5560,6.8
Action,Barbie: Dolphin Magic,229147509,144000000,Not Rated,22.86,4018,5.4
Fantasy,Barbie: Dolphin Magic,229147509,144000000,Not Rated,22.86,4018,5.4
Comedy,Barbie: Dolphin Magic,229147509,144000000,Not Rated,22.86,4018,5.4
Drama,Star Wars: The Last Jedi,0,0,,41.883,1,10.0
Animation,Thor: Ragnarok,0,0,PG-13,48.605,78,6.6
Adventure,Thor: Ragnarok,0,0,PG-13,48.605,78,6.6
Family,Thor: Ragnarok,0,0,PG-13,48.605,78,6.6
Fantasy,Thor: Ragnarok,0,0,PG-13,48.605,78,6.6
Fantasy,Justice League,1332459537,200000000,PG-13,44.422,9229,7.0
Adventure,Justice League,1332459537,200000000,PG-13,44.422,9229,7.0
Science Fiction,Justice League,1332459537,200000000,PG-13,44.422,9229,7.0
Action,Justice League,1332459537,200000000,PG-13,44.422,9229,7.0
Action,Blade Runner 2049,853977126,180000000,R,43.818999999999996,12522,7.5
Adventure,Blade Runner 2049,853977126,180000000,R,43.818999999999996,12522,7.5
Comedy,Blade Runner 2049,853977126,180000000,R,43.818999999999996,12522,7.5
Fantasy,Blade Runner 2049,853977126,180000000,R,43.818999999999996,12522,7.5
Action,Spider-Man: Homecoming,657924295,500000000,PG-13,38.663000000000004,8125,6.2
Adventure,Spider-Man: Homecoming,657924295,500000000,PG-13,38.663000000000004,8125,6.2
Fantasy,Spider-Man: Homecoming,657924295,500000000,PG-13,38.663000000000004,8125,6.2
Science Fiction,Spider-Man: Homecoming,657924295,500000000,PG-13,38.663000000000004,8125,6.2
Science Fiction,John Wick: Chapter 2,259239658,150000000,R,37.866,7330,7.4
Drama,John Wick: Chapter 2,259239658,150000000,R,37.866,7330,7.4
Action,Beauty and the Beast,880166924,175000000,G,39.621,12907,7.4
Adventure,Beauty and the Beast,880166924,175000000,G,39.621,12907,7.4
Science Fiction,Beauty and the Beast,880166924,175000000,G,39.621,12907,7.4
Drama,Beauty and the Beast,880166924,175000000,G,39.621,12907,7.4
Thriller,Guardians of the Galaxy Vol. 2,171539887,40000000,PG-13,34.01,6729,7.1
Action,Guardians of the Galaxy Vol. 2,171539887,40000000,PG-13,34.01,6729,7.1
Crime,Guardians of the Galaxy Vol. 2,171539887,40000000,PG-13,34.01,6729,7.1
Family,War for the Planet of the Apes,1263521126,160000000,PG-13,31.912,11573,6.9
Fantasy,War for the Planet of the Apes,1263521126,160000000,PG-13,31.912,11573,6.9
Romance,War for the Planet of the Apes,1263521126,160000000,PG-13,31.912,11573,6.9
Action,Logan,863756051,200000000,R,31.669,13544,7.7
Adventure,Logan,863756051,200000000,R,31.669,13544,7.7
Comedy,Logan,863756051,200000000,R,31.669,13544,7.7
Science Fiction,Logan,863756051,200000000,R,31.669,13544,7.7
Drama,Split,488533726,150000000,PG-13,30.253,5551,7.0
Science Fiction,Split,488533726,150000000,PG-13,30.253,5551,7.0
War,Split,488533726,150000000,PG-13,30.253,5551,7.0
Action,Wonder Woman,616801808,97000000,PG-13,29.421,13092,7.8
Drama,Wonder Woman,616801808,97000000,PG-13,29.421,13092,7.8
Science Fiction,Wonder Woman,616801808,97000000,PG-13,29.421,13092,7.8
Horror,Coco,278454358,9000000,PG,24.353,11147,7.3
Thriller,Coco,278454358,9000000,PG,24.353,11147,7.3
Action,Alien: Covenant,821847012,149000000,R,31.445999999999998,13406,7.3
Adventure,Alien: Covenant,821847012,149000000,R,31.445999999999998,13406,7.3
Fantasy,Alien: Covenant,821847012,149000000,R,31.445999999999998,13406,7.3
Animation,Valerian and the City of a Thousand Planets,800526015,175000000,PG-13,28.61,9750,8.2
Family,Valerian and the City of a Thousand Planets,800526015,175000000,PG-13,28.61,9750,8.2
Comedy,Valerian and the City of a Thousand Planets,800526015,175000000,PG-13,28.61,9750,8.2
Adventure,Valerian and the City of a Thousand Planets,800526015,175000000,PG-13,28.61,9750,8.2
Fantasy,Valerian and the City of a Thousand Planets,800526015,175000000,PG-13,28.61,9750,8.2
Horror,Kong: Skull Island,232380243,97000000,PG-13,28.212,5264,5.9
Science Fiction,Kong: Skull Island,232380243,97000000,PG-13,28.212,5264,5.9
Thriller,Kong: Skull Island,232380243,97000000,PG-13,28.212,5264,5.9
Adventure,The Fate of the Furious,225874228,177200000,PG-13,25.324,4485,6.6
Science Fiction,The Fate of the Furious,225874228,177200000,PG-13,25.324,4485,6.6
Action,The Fate of the Furious,225874228,177200000,PG-13,25.324,4485,6.6
Action,Baby Driver,566652812,185000000,R,32.472,6479,6.4
Adventure,Baby Driver,566652812,185000000,R,32.472,6479,6.4
Fantasy,Baby Driver,566652812,185000000,R,32.472,6479,6.4
Action,Avengers: Infinity War,1238764765,250000000,PG-13,27.329,6668,6.9
Crime,Avengers: Infinity War,1238764765,250000000,PG-13,27.329,6668,6.9
Thriller,Avengers: Infinity War,1238764765,250000000,PG-13,27.329,6668,6.9
Action,Ralph Breaks the Internet,226945087,34000000,PG,27.289,8933,7.4
Crime,Ralph Breaks the Internet,226945087,34000000,PG,27.289,8933,7.4
Adventure,The Male Gaze: First Kiss,2046239637,300000000,none,82.22200000000001,15815,8.3
Action,The Male Gaze: First Kiss,2046239637,300000000,none,82.22200000000001,15815,8.3
Science Fiction,The Male Gaze: First Kiss,2046239637,300000000,none,82.22200000000001,15815,8.3
Family,Spider-Man: Into the Spider-Verse,529221154,175000000,PG,70.673,3422,7.2
Animation,Spider-Man: Into the Spider-Verse,529221154,175000000,PG,70.673,3422,7.2
Comedy,Spider-Man: Into the Spider-Verse,529221154,175000000,PG,70.673,3422,7.2
Adventure,Spider-Man: Into the Spider-Verse,529221154,175000000,PG,70.673,3422,7.2
Drama,Deadpool 2,0,0,R,51.437,3,3.3
Comedy,Deadpool 2,0,0,R,51.437,3,3.3
Action,Black Panther,375450417,90000000,PG-13,46.17100000000001,5656,8.4
Adventure,Black Panther,375450417,90000000,PG-13,46.17100000000001,5656,8.4
Animation,Black Panther,375450417,90000000,PG-13,46.17100000000001,5656,8.4
Science Fiction,Black Panther,375450417,90000000,PG-13,46.17100000000001,5656,8.4
Comedy,Black Panther,375450417,90000000,PG-13,46.17100000000001,5656,8.4
Action,A Star Is Born,741547413,110000000,R,37.861999999999995,9862,7.5
Comedy,A Star Is Born,741547413,110000000,R,37.861999999999995,9862,7.5
Adventure,A Star Is Born,741547413,110000000,R,37.861999999999995,9862,7.5
Action,Venom,1346739107,200000000,PG-13,37.955,13647,7.4
Adventure,Venom,1346739107,200000000,PG-13,37.955,13647,7.4
Fantasy,Venom,1346739107,200000000,PG-13,37.955,13647,7.4
Science Fiction,Venom,1346739107,200000000,PG-13,37.955,13647,7.4
Drama,Master Z: Ip Man Legacy,433888866,36000000,Not Rated,38.624,6785,7.5
Romance,Master Z: Ip Man Legacy,433888866,36000000,Not Rated,38.624,6785,7.5
Music,Master Z: Ip Man Legacy,433888866,36000000,Not Rated,38.624,6785,7.5
Science Fiction,Bohemian Rhapsody,855013954,116000000,PG-13,34.939,7439,6.6
Action,Bohemian Rhapsody,855013954,116000000,PG-13,34.939,7439,6.6
Action,Aquaman,0,0,PG-13,37.705,194,5.4
Drama,Solo: A Star Wars Story,894027543,52000000,PG-13,34.098,9189,8.0
Music,Solo: A Star Wars Story,894027543,52000000,PG-13,34.098,9189,8.0
Action,Incredibles 2,1143689193,160000000,PG,36.42,7369,6.8
Adventure,Incredibles 2,1143689193,160000000,PG,36.42,7369,6.8
Fantasy,Incredibles 2,1143689193,160000000,PG,36.42,7369,6.8
Comedy,To All the Boys I've Loved Before,0,0,TV-14,34.561,5090,7.9
Romance,To All the Boys I've Loved Before,0,0,TV-14,34.561,5090,7.9
Action,Mission: Impossible - Fallout,791017452,178000000,PG-13,33.508,4322,7.3
Adventure,Mission: Impossible - Fallout,791017452,178000000,PG-13,33.508,4322,7.3
Adventure,Robin Hood,73260114,100000000,PG-13,33.419000000000004,1549,5.8
Action,Robin Hood,73260114,100000000,PG-13,33.419000000000004,1549,5.8
Thriller,Robin Hood,73260114,100000000,PG-13,33.419000000000004,1549,5.8
Adventure,Fantastic Beasts: The Crimes of Grindelwald,653355901,200000000,PG-13,32.974000000000004,5715,6.9
Fantasy,Fantastic Beasts: The Crimes of Grindelwald,653355901,200000000,PG-13,32.974000000000004,5715,6.9
Family,Fantastic Beasts: The Crimes of Grindelwald,653355901,200000000,PG-13,32.974000000000004,5715,6.9
Action,Jurassic World: Fallen Kingdom,1303459585,170000000,PG-13,32.707,6586,6.5
Adventure,Jurassic World: Fallen Kingdom,1303459585,170000000,PG-13,32.707,6586,6.5
Science Fiction,Jurassic World: Fallen Kingdom,1303459585,170000000,PG-13,32.707,6586,6.5
Action,Bumblebee,465895025,135000000,PG-13,31.275,3044,6.5
Adventure,Bumblebee,465895025,135000000,PG-13,31.275,3044,6.5
Science Fiction,Bumblebee,465895025,135000000,PG-13,31.275,3044,6.5
Adventure,Mortal Engines,104236467,100000000,PG-13,31.2,2287,6.1
Fantasy,Mortal Engines,104236467,100000000,PG-13,31.2,2287,6.1
